Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005898,01,0965,5,196041921619,CASH,-----------------------, ----------,---------,------,,500,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005899,01,0965,6,196711988779,CASH,-----------------------, ----------,---------,------,,1000,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005900,01,0965,5,195011940671,CASH,-----------------------, ----------,---------,------,,330,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005901,01,0965,6,196710118347,CASH,-----------------------, ----------,---------,------,,900,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005902,01,0965,6,196011988433,CASH,-----------------------, ----------,---------,------,,3000,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005903,01,0965,5,195011926334,CASH,-----------------------, ----------,---------,------,,520,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005904,01,0965,1,195941965259,CASH,-----------------------, ----------,---------,------,,1080,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005905,01,0965,6,196710000630,CASH,-----------------------, ----------,---------,------,,1240,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005906,01,0965,6,196520000749,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005907,01,0965,5,195500065244,CASH,-----------------------, ----------,---------,------,,380,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
